FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 12.908
   C2: 12.48
   C3: 12.747
   C4: 11.713

(814) TAURIS                        13.1
FECHA J GEO           MAG      +/-         MAG      +/-
----------------------------------  -------------------
2459448.48523      12.453    0.004      13.068    0.005
2459448.48733      12.467    0.004      13.016    0.005
2459448.48942      12.475    0.004      13.066    0.005
2459448.49153      12.476    0.004      13.067    0.005
2459448.49362      12.474    0.004      13.057    0.005
2459448.49573      12.452    0.004      13.042    0.005
2459448.49782      12.478    0.004      13.054    0.005
2459448.49993      12.467    0.004      13.022    0.005
2459448.50203      12.496    0.004      13.036    0.005
2459448.50413      12.479    0.004      13.077    0.005
2459448.50623      12.483    0.004      13.077    0.005
2459448.50833      12.492    0.004      13.075    0.005
2459448.51043      12.505    0.004      13.079    0.005
2459448.51253      12.497    0.004      13.064    0.005
2459448.51463      12.491    0.004      13.012    0.005
2459448.51672      12.497    0.004      13.048    0.005
2459448.51883      12.501    0.004      13.051    0.005
2459448.52093      12.491    0.004      13.080    0.005
2459448.52303      12.494    0.004      13.058    0.005
2459448.52513      12.483    0.004      13.017    0.005
2459448.52722      12.498    0.004      13.040    0.005
2459448.52933      12.498    0.004      13.076    0.005
2459448.53142      12.482    0.004      13.071    0.005
2459448.53352      12.485    0.004      13.052    0.005
2459448.53562      12.506    0.004      13.068    0.005
2459448.53772      12.523    0.004      13.071    0.005
2459448.53983      12.493    0.004      13.045    0.005
2459448.54192      12.520    0.004      13.059    0.005
2459448.54403      12.509    0.004      13.068    0.005
2459448.54612      12.494    0.004      13.071    0.005
2459448.54823      12.518    0.004      13.070    0.005
2459448.55032      12.511    0.004      13.108    0.005
2459448.55243      12.514    0.004      13.061    0.005
2459448.55453      12.521    0.004      13.076    0.005
2459448.55662      12.511    0.004      13.072    0.005
2459448.55873      12.501    0.004      13.079    0.005
2459448.56082      12.511    0.004      13.113    0.005
2459448.56292      12.529    0.004      13.059    0.005
2459448.56502      12.514    0.004      13.068    0.005
2459448.56712      12.512    0.004      13.071    0.005
2459448.56921      12.514    0.004      13.041    0.005
2459448.57132      12.532    0.004      13.039    0.005
2459448.57341      12.531    0.004      13.032    0.005
