FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 12.775
   C2: 11.722
   C3: 11.794
   C4: 12.33

(814) TAURIS                        12.834
FECHA J GEO           MAG      +/-         MAG      +/-
----------------------------------  -------------------
2459430.57397      12.615    0.003      12.809    0.004
2459430.57677      12.630    0.004      12.829    0.004
2459430.57956      12.624    0.003      12.824    0.004
2459430.58235      12.621    0.003      12.831    0.004
2459430.58515      12.627    0.003      12.837    0.004
2459430.58794      12.623    0.003      12.826    0.004
2459430.59073      12.621    0.003      12.821    0.004
2459430.59398      12.616    0.003      12.825    0.003
2459430.59747      12.609    0.003      12.826    0.003
2459430.60096      12.624    0.003      12.812    0.003
2459430.60444      12.617    0.003      12.814    0.003
2459430.60793      12.618    0.003      12.813    0.003
2459430.61142      12.611    0.003      12.818    0.003
2459430.61491      12.613    0.003      12.826    0.003
2459430.61839      12.617    0.003      12.816    0.003
2459430.62189      12.619    0.003      12.822    0.003
2459430.62537      12.618    0.003      12.822    0.003
2459430.62885      12.604    0.003      12.820    0.003
2459430.63235      12.609    0.003      12.819    0.003
2459430.63583      12.610    0.003      12.806    0.003
2459430.63932      12.603    0.003      12.813    0.004
2459430.64281      12.613    0.003      12.816    0.003
2459430.64630      12.607    0.003      12.803    0.003
2459430.64978      12.600    0.003      12.816    0.003
2459430.65328      12.611    0.003      12.805    0.003
2459430.65676      12.599    0.003      12.810    0.003
2459430.66024      12.591    0.003      12.798    0.003
2459430.66374      12.594    0.003      12.814    0.004
2459430.66722      12.592    0.003      12.809    0.003
2459430.67071      12.591    0.003      12.814    0.003
2459430.67420      12.578    0.003      12.809    0.003
2459430.67769      12.582    0.003      12.806    0.003
2459430.68117      12.577    0.003      12.809    0.003
2459430.68465      12.596    0.003      12.820    0.004
2459430.68815      12.584    0.003      12.815    0.004
2459430.69163      12.586    0.003      12.817    0.004
2459430.69512      12.580    0.003      12.811    0.003
2459430.69861      12.588    0.003      12.816    0.004
2459430.70209      12.583    0.003      12.815    0.004
2459430.70558      12.575    0.003      12.817    0.004
2459430.70907      12.587    0.003      12.818    0.004
2459430.71256      12.582    0.003      12.811    0.004
2459430.71604      12.577    0.003      12.827    0.004
2459430.71954      12.572    0.003      12.811    0.004
2459430.72302      12.566    0.003      12.806    0.004
2459430.72650      12.567    0.003      12.818    0.004
2459430.72999      12.565    0.003      12.823    0.004
2459430.73348      12.565    0.003      12.819    0.004
2459430.73697      12.543    0.003      12.815    0.003
2459430.74046      12.549    0.003      12.820    0.003
2459430.74395      12.550    0.003      12.816    0.003
2459430.74743      12.560    0.003      12.819    0.003
2459430.75093      12.552    0.003      12.811    0.003
2459430.75441      12.546    0.003      12.816    0.003
2459430.75789      12.550    0.003      12.815    0.004
2459430.76138      12.539    0.003      12.817    0.004
2459431.57311      12.558    0.003      12.817    0.003
2459431.57661      12.545    0.003      12.813    0.003
2459431.58009      12.553    0.003      12.829    0.003
2459431.58359      12.552    0.003      12.820    0.003
2459431.58707      12.552    0.003      12.813    0.003
2459431.59057      12.555    0.003      12.810    0.003
2459431.59405      12.548    0.003      12.808    0.003
2459431.59755      12.553    0.003      12.813    0.003
2459431.60103      12.551    0.003      12.817    0.003
2459431.60453      12.555    0.003      12.815    0.003
2459431.60801      12.559    0.003      12.813    0.003
2459431.61150      12.547    0.003      12.815    0.003
2459431.61499      12.557    0.003      12.811    0.003
2459431.61847      12.558    0.003      12.804    0.003
2459431.62197      12.553    0.003      12.819    0.003
2459431.62545      12.550    0.003      12.811    0.003
2459431.62895      12.562    0.003      12.814    0.003
2459431.63243      12.554    0.003      12.831    0.003
2459431.63591      12.553    0.003      12.819    0.003
2459431.63941      12.539    0.003      12.816    0.003
2459431.64289      12.541    0.003      12.821    0.003
2459431.64638      12.539    0.003      12.814    0.003
2459431.64987      12.537    0.003      12.820    0.003
2459431.65336      12.543    0.003      12.820    0.003
2459431.65684      12.544    0.003      12.818    0.003
2459431.66034      12.539    0.003      12.818    0.003
2459431.66382      12.545    0.003      12.807    0.003
2459431.66730      12.530    0.003      12.814    0.003
2459431.67080      12.541    0.003      12.823    0.003
2459431.67428      12.542    0.003      12.814    0.003
2459431.67777      12.542    0.003      12.822    0.003
2459431.68126      12.540    0.003      12.831    0.003
2459431.68475      12.531    0.003      12.818    0.003
2459431.68823      12.533    0.003      12.813    0.003
2459431.69172      12.533    0.003      12.813    0.003
2459431.69521      12.527    0.003      12.817    0.003
2459431.69870      12.543    0.003      12.822    0.003
2459431.70219      12.531    0.003      12.808    0.003
2459431.70567      12.530    0.003      12.822    0.003
2459431.70916      12.535    0.003      12.823    0.003
2459431.71265      12.531    0.003      12.825    0.003
2459431.71613      12.542    0.003      12.822    0.003
2459431.71962      12.535    0.003      12.826    0.003
2459431.72311      12.541    0.003      12.819    0.003
2459431.72660      12.541    0.003      12.816    0.003
2459431.73008      12.540    0.003      12.824    0.003
2459431.73358      12.535    0.003      12.824    0.003
2459431.73706      12.543    0.003      12.825    0.003
2459431.74054      12.518    0.003      12.808    0.003
2459431.74404      12.530    0.003      12.812    0.003
2459431.74752      12.533    0.003      12.805    0.003
2459431.75101      12.530    0.003      12.815    0.003
2459431.75450      12.532    0.003      12.815    0.003
2459431.75799      12.532    0.003      12.806    0.003

Observador: MMartini
FotoDif 3.109
