datetime_jd V
2459432.57038 12.544
2459432.57248 12.544
2459432.57668 12.544
2459432.57878 12.544
2459432.58088 12.544
2459432.58299 12.544
2459432.58509 12.544
2459432.58719 12.544
2459432.58929 12.544
2459432.59139 12.543
2459432.59348 12.543
2459432.59558 12.543
2459432.59769 12.543
2459432.59978 12.543
2459432.60398 12.543
2459432.60608 12.543
2459432.60817 12.543
2459432.61027 12.543
2459432.61237 12.543
2459432.61447 12.543
2459432.61656 12.543
2459432.62076 12.543
2459432.62287 12.543
2459432.62497 12.543
2459432.62707 12.543
2459432.62917 12.543
2459432.63127 12.543
2459432.63337 12.543
2459432.63547 12.543
2459432.63757 12.543
2459432.63966 12.543
2459432.64176 12.543
2459432.64387 12.543
2459432.64596 12.543
2459432.64807 12.543
2459432.65016 12.543
2459432.65226 12.543
2459432.65436 12.543
2459432.65646 12.543
2459432.65856 12.543
2459432.66066 12.543
2459432.66275 12.543
2459432.66486 12.543
2459432.66696 12.543
2459432.66906 12.543
2459432.67116 12.543
2459432.67325 12.543
2459432.67536 12.543
2459432.67745 12.543
2459432.67955 12.543
2459432.68166 12.543
2459432.68375 12.543
2459432.68586 12.543
2459432.68795 12.543
2459432.69005 12.543
2459432.69214 12.543
2459432.69425 12.543
2459432.69634 12.543
2459432.69844 12.543
2459432.70054 12.543
2459432.70264 12.543
2459432.70475 12.543
2459432.70684 12.542
2459432.70894 12.542
2459432.71104 12.542
2459432.71314 12.542
2459432.71524 12.542
2459432.71734 12.542
2459432.71943 12.542
2459432.72154 12.542
2459432.72363 12.542
2459432.72574 12.542
2459432.72784 12.542
2459432.72993 12.542
2459432.73204 12.542
2459432.73413 12.542
2459432.73623 12.542
2459433.57968 12.535
2459433.58177 12.535
2459433.58389 12.535
2459433.58598 12.535
2459433.58895 12.535
2459433.59641 12.535
2459433.59852 12.535
2459433.60061 12.535
2459433.60341 12.535
2459433.6062 12.535
2459433.609 12.535
2459433.61181 12.535
2459433.61459 12.535
2459433.6174 12.535
2459433.62019 12.535
2459433.62299 12.535
2459433.62578 12.535
2459433.62858 12.535
2459433.6314 12.535
2459433.63557 12.535
2459433.63837 12.535
2459433.64116 12.535
2459433.64396 12.535
2459433.64676 12.535
2459433.64956 12.535
2459433.65235 12.535
2459433.65515 12.535
2459433.65794 12.535
2459433.66074 12.535
2459433.66353 12.535
2459433.66632 12.535
2459433.66912 12.535
2459433.67191 12.535
2459433.6775 12.535
2459433.68029 12.535
2459433.68309 12.535
2459433.68588 12.535
2459433.68867 12.535
2459433.69147 12.535
2459433.69426 12.534
2459433.69705 12.534
2459433.69985 12.534
2459433.70264 12.534
2459433.70543 12.534
2459433.70823 12.534
2459433.71102 12.534
2459433.71381 12.534
2459433.71661 12.534
2459433.7194 12.534
2459433.72219 12.534
2459433.72499 12.534
2459433.72778 12.534
2459433.73057 12.534
2459433.73337 12.534
2459433.73616 12.534
2459433.73895 12.534
2459433.74175 12.534
2459433.74454 12.534
2459433.74733 12.534
2459433.75013 12.534
2459433.75292 12.534
