datetime_jd V
2459448.48523 12.518
2459448.48733 12.518
2459448.48942 12.518
2459448.49153 12.518
2459448.49362 12.518
2459448.49573 12.518
2459448.49782 12.518
2459448.49993 12.518
2459448.50203 12.518
2459448.50413 12.518
2459448.50623 12.518
2459448.50833 12.518
2459448.51043 12.518
2459448.51253 12.518
2459448.51463 12.518
2459448.51672 12.518
2459448.51883 12.518
2459448.52093 12.518
2459448.52303 12.518
2459448.52513 12.518
2459448.52722 12.518
2459448.52933 12.518
2459448.53142 12.518
2459448.53352 12.518
2459448.53562 12.518
2459448.53772 12.518
2459448.53983 12.518
2459448.54192 12.518
2459448.54403 12.518
2459448.54612 12.518
2459448.54823 12.518
2459448.55032 12.518
2459448.55243 12.518
2459448.55453 12.518
2459448.55662 12.518
2459448.55873 12.518
2459448.56082 12.519
2459448.56292 12.519
2459448.56502 12.519
2459448.56712 12.519
2459448.56921 12.519
2459448.57132 12.519
2459448.57341 12.519
2459448.57551 12.519
2459448.57762 12.519
2459448.57971 12.519
2459448.58181 12.519
2459448.58391 12.519
2459448.58601 12.519
2459448.5881 12.519
2459448.59021 12.519
2459448.5923 12.519
2459448.5944 12.519
2459448.5965 12.519
2459448.5986 12.519
2459448.60071 12.519
2459448.60281 12.519
2459448.60491 12.519
2459448.60747 12.519
2459448.61025 12.519
2459448.61306 12.519
2459448.64659 12.519
2459448.64938 12.519
2459448.65218 12.519
2459448.65497 12.519
2459448.65777 12.519
2459448.66056 12.519
2459448.66336 12.519
2459448.66615 12.519
2459448.66895 12.519
2459448.67174 12.519
2459448.67454 12.519
2459448.67733 12.519
2459448.68013 12.519
2459448.68292 12.519
2459448.68572 12.519
2459448.68851 12.519
2459448.69131 12.519
2459448.70059 12.519
2459448.70338 12.519
2459448.70617 12.519
2459448.70897 12.519
2459448.71176 12.519
2459448.71455 12.519
2459448.71735 12.519
2459448.72014 12.519
2459448.72293 12.519
2459448.72573 12.519
2459448.72852 12.519
2459448.73132 12.519
2459448.73411 12.519
2459448.7369 12.519
2459448.7397 12.519
2459448.74249 12.519
2459448.74529 12.519
2459448.74808 12.519
2459448.75087 12.519
2459448.75366 12.519
2459448.75646 12.519
2459448.75925 12.519
2459448.76205 12.519
2459448.76484 12.519
2459448.76764 12.52
2459448.77043 12.52
2459448.77322 12.52
2459448.77602 12.52
2459448.77881 12.52
2459448.7816 12.52
2459448.7844 12.52
2459448.78719 12.52
2459448.78998 12.52
2459448.79278 12.52
2459448.79557 12.52
2459448.79836 12.52
2459448.80116 12.52
2459448.80395 12.52
2459448.80674 12.52
2459448.80953 12.52
2459449.47389 12.523
2459449.47668 12.523
2459449.48086 12.523
2459449.48365 12.523
2459449.48645 12.523
2459449.48924 12.523
2459449.49204 12.523
2459449.49484 12.523
2459449.49765 12.523
2459449.50045 12.523
2459449.50325 12.523
2459449.50604 12.523
2459449.50884 12.523
2459449.51163 12.523
2459449.51443 12.523
2459449.51722 12.523
2459449.52002 12.523
2459449.52281 12.523
2459449.52561 12.523
2459449.5284 12.523
2459449.53119 12.523
2459449.53399 12.523
2459449.53678 12.523
2459449.53958 12.523
2459449.54237 12.524
2459449.54517 12.524
2459449.54796 12.524
2459449.55075 12.524
2459449.55355 12.524
2459449.55634 12.524
2459449.55913 12.524
2459449.56193 12.524
2459449.56472 12.524
2459449.56751 12.524
2459449.57031 12.524
2459449.5731 12.524
2459449.57589 12.524
2459449.57869 12.524
2459449.58148 12.524
2459449.58428 12.524
2459449.58715 12.524
2459449.58995 12.524
2459449.59274 12.524
2459449.59553 12.524
2459449.59833 12.524
2459449.60112 12.524
2459449.60392 12.524
2459449.60672 12.524
2459449.60951 12.524
2459449.61231 12.524
2459449.6151 12.524
2459449.61791 12.524
2459449.62069 12.524
2459449.6235 12.524
2459449.62628 12.524
2459449.62909 12.524
2459449.6319 12.524
2459449.63469 12.524
2459449.63749 12.524
2459449.64029 12.524
2459449.64308 12.524
2459449.64588 12.524
2459449.64867 12.524
2459449.65147 12.524
2459449.65426 12.524
2459449.65705 12.524
2459449.65985 12.524
2459449.66264 12.524
2459449.66543 12.524
2459449.66823 12.524
2459449.67102 12.524
2459449.67381 12.524
2459449.67661 12.524
2459449.6794 12.524
2459449.68219 12.524
2459449.68499 12.524
2459449.68778 12.524
2459449.69057 12.524
2459449.69337 12.524
2459449.69616 12.524
