datetime_jd V
2459453.47704 12.549
2459453.47912 12.549
2459453.48123 12.549
2459453.48332 12.549
2459453.48542 12.549
2459453.48752 12.549
2459453.48962 12.549
2459453.49171 12.549
2459453.49382 12.549
2459453.49591 12.549
2459453.49802 12.549
2459453.50012 12.549
2459453.50222 12.549
2459453.50432 12.549
2459453.50642 12.549
2459453.50852 12.549
2459453.51061 12.549
2459453.51272 12.549
2459453.51481 12.549
2459453.51691 12.549
2459453.51902 12.549
2459453.52111 12.549
2459453.52323 12.549
2459453.52532 12.549
2459453.52743 12.549
2459453.52953 12.55
2459453.53163 12.55
2459453.53373 12.55
2459453.53582 12.55
2459453.53793 12.55
2459453.54002 12.55
2459453.54212 12.55
2459453.54422 12.55
2459453.54632 12.55
2459453.54841 12.55
2459453.55052 12.55
2459453.55262 12.55
2459453.55471 12.55
2459453.55682 12.55
2459453.55891 12.55
2459453.56102 12.55
2459453.56311 12.55
2459453.56521 12.55
2459453.56731 12.55
2459453.56941 12.55
2459453.5715 12.55
2459453.57361 12.55
2459453.57572 12.55
2459453.57781 12.55
2459453.57992 12.55
2459453.58201 12.55
2459453.58412 12.55
2459453.58622 12.55
2459453.58832 12.55
2459453.59042 12.55
2459453.59251 12.55
2459453.59462 12.55
2459453.59671 12.55
2459453.5989 12.55
2459453.60101 12.55
2459453.6031 12.55
2459453.60521 12.55
2459453.6073 12.55
2459453.60941 12.55
2459453.6115 12.55
2459453.61361 12.55
2459453.61572 12.55
2459453.61782 12.55
2459453.61993 12.55
2459453.62203 12.55
2459453.62412 12.55
2459453.62623 12.55
2459453.62833 12.55
2459453.63043 12.55
2459453.63253 12.55
2459453.63463 12.55
2459453.63674 12.55
2459453.63883 12.55
2459453.64094 12.55
2459453.64303 12.55
2459453.64514 12.55
2459453.64723 12.55
2459453.64933 12.55
2459453.65144 12.55
2459453.65353 12.55
2459453.65564 12.55
2459453.65773 12.55
2459453.65983 12.55
2459453.66193 12.551
2459453.66403 12.551
2459453.66613 12.551
2459453.66823 12.551
2459453.67034 12.551
2459453.67243 12.551
2459453.67454 12.551
2459453.67663 12.551
2459453.67874 12.551
2459453.68083 12.551
