datetime_jd V
2459430.57397 12.563
2459430.57677 12.563
2459430.57956 12.563
2459430.58235 12.563
2459430.58515 12.563
2459430.58794 12.563
2459430.59073 12.563
2459430.59398 12.563
2459430.59747 12.563
2459430.60096 12.562
2459430.60444 12.562
2459430.60793 12.562
2459430.61142 12.562
2459430.61491 12.562
2459430.61839 12.562
2459430.62189 12.562
2459430.62537 12.562
2459430.62885 12.562
2459430.63235 12.562
2459430.63583 12.562
2459430.63932 12.562
2459430.64281 12.562
2459430.6463 12.562
2459430.64978 12.562
2459430.65328 12.562
2459430.65676 12.562
2459430.66024 12.562
2459430.66374 12.562
2459430.66722 12.562
2459430.67071 12.562
2459430.6742 12.562
2459430.67769 12.562
2459430.68117 12.562
2459430.68465 12.562
2459430.68815 12.562
2459430.69163 12.562
2459430.69512 12.561
2459430.69861 12.561
2459430.70209 12.561
2459430.70558 12.561
2459430.70907 12.561
2459430.71256 12.561
2459430.71604 12.561
2459430.71954 12.561
2459430.72302 12.561
2459430.7265 12.561
2459430.72999 12.561
2459430.73348 12.561
2459430.73697 12.561
2459430.74046 12.561
2459430.74395 12.561
2459430.74743 12.561
2459430.75093 12.561
2459430.75441 12.561
2459430.75789 12.561
2459430.76138 12.561
2459431.57311 12.553
2459431.57661 12.553
2459431.58009 12.553
2459431.58359 12.553
2459431.58707 12.553
2459431.59057 12.553
2459431.59405 12.553
2459431.59755 12.553
2459431.60103 12.553
2459431.60453 12.552
2459431.60801 12.552
2459431.6115 12.552
2459431.61499 12.552
2459431.61847 12.552
2459431.62197 12.552
2459431.62545 12.552
2459431.62895 12.552
2459431.63243 12.552
2459431.63591 12.552
2459431.63941 12.552
2459431.64289 12.552
2459431.64638 12.552
2459431.64987 12.552
2459431.65336 12.552
2459431.65684 12.552
2459431.66034 12.552
2459431.66382 12.552
2459431.6673 12.552
2459431.6708 12.552
2459431.67428 12.552
2459431.67777 12.552
2459431.68126 12.552
2459431.68475 12.552
2459431.68823 12.552
2459431.69172 12.552
2459431.69521 12.552
2459431.6987 12.552
2459431.70219 12.552
2459431.70567 12.552
2459431.70916 12.551
2459431.71265 12.551
2459431.71613 12.551
2459431.71962 12.551
2459431.72311 12.551
2459431.7266 12.551
2459431.73008 12.551
2459431.73358 12.551
2459431.73706 12.551
2459431.74054 12.551
2459431.74404 12.551
2459431.74752 12.551
2459431.75101 12.551
2459431.7545 12.551
2459431.75799 12.551
